ecommerce,category,original_id,name,price,original_price,discount,discount_rate
TIKI,nha-sach-tiki,58342212,"Set 3 cuốn Moi Moi và những người bạn - Dành cho trẻ từ 0-2 tuổi",75600,117000,41400,35
TIKI,nha-sach-tiki,273536931,"Kinh Doanh Thời Trang - 8 Bước Xây Dựng, Vận Hành Và Phát Triển Shop Quần Áo Của Bạn",155000,199000,44000,22
TIKI,nha-sach-tiki,262837213,"Sách Excel Power Query Và Power Pivot Tự Động Hóa Dữ Liệu Báo Cáo Cơ Bản ĐÀO TẠO TIN HỌC Có Kèm Video Khóa Học",178600,188000,9400,5
TIKI,nha-sach-tiki,271442564,"Sổ planner 52 tuần 2024 SDstationery “Treasure the Journey” gáy lò xo, họa tiết màu pastel trang nhã 14x20.3cm",112000,132000,20000,15
TIKI,nha-sach-tiki,74021317,"Cây Cam Ngọt Của Tôi",77300,108000,30700,28
TIKI,nha-sach-tiki,271061349,"Cách đưa bạn trở thành siêu sao nơi công sở - How to Be the Employee Your Company Can't Live Without",249000,249000,0,0
TIKI,nha-sach-tiki,188940817,"Vị Thần Của Những Quyết Định",56100,79000,22900,29
TIKI,nha-sach-tiki,189643105,"Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt",96800,128000,31200,24
TIKI,nha-sach-tiki,109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",118000,179000,61000,34
TIKI,nha-sach-tiki,26114399,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",56500,89000,32500,37
TIKI,nha-sach-tiki,135498945,"COMBO EHON SONG NGỮ ANH VIỆT PHIÊN BẢN ĐẶC BIỆT CÓ FILE ÂMTHANH",109000,109000,0,0
TIKI,nha-sach-tiki,166643806,"Bộ Ehon kĩ năng sống Thỏ Bông (song ngữ Việt Anh) 5 quyển -(Quét mã QR file nghe)",79000,79000,0,0
TIKI,nha-sach-tiki,273046888,"Lãnh đạo là ngôn ngữ - Leadership is language",349000,349000,0,0
TIKI,nha-sach-tiki,174301838,"BỘ BOOKMARK 1% TINH HOA",49000,49000,0,0
TIKI,nha-sach-tiki,272412121,"THUẬT LÃNH ĐẠO nơi công sở - How to Manage Problem Employees",249000,249000,0,0
TIKI,nha-sach-tiki,174444163,"Dear, Darling",62900,88000,25100,29
TIKI,nha-sach-tiki,52789367,"Nhà Giả Kim (Tái Bản 2020)",54000,79000,25000,32
TIKI,nha-sach-tiki,113964351,"(Gift)Bút ký khắc tên cao cấp Doanh nhân 006, thép nguyên khối, mực bi đều ở mọi góc nghiêng",450000,450000,0,0
TIKI,nha-sach-tiki,73207240,"Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing",105000,165000,60000,36
TIKI,nha-sach-tiki,272530379,"Bộ sách trở thành “ÁT CHỦ BÀI” công sở (Gồm 2 cuốn)",498000,498000,0,0
TIKI,nha-sach-tiki,271960042,"Xoay chuyển con tàu - Turn the Ship Around",299000,299000,0,0
TIKI,nha-sach-tiki,69764541,"Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark )",70100,98000,27900,28
TIKI,nha-sach-tiki,147920903,"Một Thoáng Ta Rực Rỡ Ở Nhân Gian",100000,135000,35000,26
TIKI,nha-sach-tiki,121635154,"Điều Đẹp Nhất Có Khi Là Buông Tay (Tặng Kèm Bookmark)",51000,72000,21000,29
TIKI,nha-sach-tiki,108259024,"Combo Sách Osho - Đàn Ông + Đàn Bà + Ươm Mầm",299500,299500,0,0
TIKI,nha-sach-tiki,73787185,"Những Tù Nhân Của Địa Lý",139000,210000,71000,34
TIKI,nha-sach-tiki,195801653,"Chú Thuật Hồi Chiến - Tập 6 - Bản Tặng Kèm Obi Và Thẻ Bo Góc Nhựa",30000,30000,0,0
TIKI,nha-sach-tiki,46240929,"Rèn Luyện Tư Duy Phản Biện",68000,99000,31000,31
TIKI,nha-sach-tiki,3954355,"Yêu Những Điều Không Hoàn Hảo",99500,139000,39500,28
TIKI,nha-sach-tiki,72882553,"Kỷ Luật Tự Giác (Tặng Kèm Bookmark )",58500,84000,25500,30
TIKI,nha-sach-tiki,42230121,"Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm",128000,158000,30000,19
TIKI,nha-sach-tiki,117254517,"Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm",186000,240000,54000,23
TIKI,nha-sach-tiki,8885999,"Totto - Chan Bên Cửa Sổ (Tái Bản)",67000,98000,31000,32
TIKI,nha-sach-tiki,68585576,"Càng Kỷ Luật, Càng Tự Do",79100,109000,29900,27
TIKI,nha-sach-tiki,143217512,"Điềm Tĩnh Và Nóng Giận",69600,96000,26400,28
TIKI,nha-sach-tiki,196515658,"Blue Period - Tập 04",43100,48000,4900,10
TIKI,nha-sach-tiki,216102104,"Bóng nhựa Arylic trong suốt đường kính 35 cm",1500000,1500000,0,0
TIKI,nha-sach-tiki,145288029,"Xứ Cát",186000,249000,63000,25
TIKI,nha-sach-tiki,216102826,"Bóng nhựa Arylic trong suốt đường kính 60 cm",6500000,6500000,0,0
TIKI,nha-sach-tiki,195969664,"Tokyo Revengers - Tập 4",37000,115000,78000,68
TIKI,nha-sach-tiki,157432544,"Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản)",142000,220000,78000,35
TIKI,nha-sach-tiki,190861557,"Yêu Những Ngày Nắng Chẳng Ghét Những Ngày Mưa",106000,132000,26000,20
TIKI,nha-sach-tiki,117238177,"Thư Viện Nửa Đêm",115000,150000,35000,23
TIKI,nha-sach-tiki,111285062,"Đắc Nhân Tâm (Bìa Mềm)(Tái Bản)",62300,86000,23700,28
TIKI,nha-sach-tiki,97594364,"Luật Tâm Thức - Giải Mã Ma Trận Vũ Trụ",226000,292000,66000,23
TIKI,nha-sach-tiki,197719874,"Suy Nghĩ Thống Kê Trong Đời Thường",105000,160000,55000,34
TIKI,nha-sach-tiki,72459686,"How Psychology Works - Hiểu Hết Về Tâm Lý Học",225000,300000,75000,25
TIKI,nha-sach-tiki,193151000,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",599000,599000,0,0
TIKI,nha-sach-tiki,85763211,"Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark)",68800,99000,30200,31
TIKI,nha-sach-tiki,194959173,"Semantic Error – Lỗi Logic (Tập 2)",194000,259000,65000,25
TIKI,nha-sach-tiki,121635152,"Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái)",84000,119000,35000,29
TIKI,nha-sach-tiki,106863963,"Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội",105000,145000,40000,28
TIKI,nha-sach-tiki,194960721,"Blue Period - Tập 03",34100,48000,13900,29
TIKI,nha-sach-tiki,3304875,"Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản)",80900,105000,24100,23
TIKI,nha-sach-tiki,10095276,"Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật",69700,90000,20300,23
TIKI,nha-sach-tiki,173748415,"Tâm Lý Học Mối Quan Hệ",69200,98000,28800,29
TIKI,nha-sach-tiki,80628929,"Từ IQ Đến EQ - Nắm Bắt Thành Công Qua Trí Tuệ Cảm Xúc",63500,91000,27500,30
TIKI,nha-sach-tiki,147999778,"Không Bao Giờ Là Thất Bại - Tất Cả Là Thử Thách (Ấn Bản Cập Nhật Đầy Đủ Nhất)(Bìa Cứng)",141000,268000,127000,47
TIKI,nha-sach-tiki,103640412,"Đừng Lựa Chọn An Nhàn Khi Còn Trẻ (Tái Bản)",69000,99000,30000,30
TIKI,nha-sach-tiki,138107485,"Mặt Dày Tâm Đen (Tái Bản)",109000,169000,60000,36
TIKI,nha-sach-tiki,196016785,"Ikigami - Tập 08",40400,45000,4600,10
TIKI,nha-sach-tiki,72308265,"Hoa Vẫn Nở Mỗi Ngày",140400,234000,93600,40
TIKI,nha-sach-tiki,168293266,"Chiến Tranh Tiền Tệ - Phần 2 - Sự Thống Trị Của Quyền Lực Tài Chính ( Tái Bản 2022)",111000,170000,59000,35
TIKI,nha-sach-tiki,195969669,"Chào Mừng Đến Lớp Học Đề Cao Thực Lực - 3",63000,120000,57000,48
TIKI,nha-sach-tiki,196923457,"Blue Flag - Tập 2",44100,45000,900,2
TIKI,nha-sach-tiki,174215347,"Ajin - Boxset Số 3 (Tập 13 - 17) - Tặng Kèm Bookmark 3D",192000,270000,78000,29
TIKI,nha-sach-tiki,91947689,"7 Thói Quen Hiệu Quả (The 7 Habits Of Highly Effective People) (Tái Bản)",191000,250000,59000,24
TIKI,nha-sach-tiki,74362508,"Thần Số Học Ứng Dụng",78000,129000,51000,40
TIKI,nha-sach-tiki,23416722,"How The Body Works - Hiểu Hết Về Cơ Thể",205000,300000,95000,32
TIKI,nha-sach-tiki,70016692,"Bắt Trẻ Đồng Xanh (Tái Bản 2020)",60200,88000,27800,32
TIKI,nha-sach-tiki,3608625,"Payback Time - Ngày Đòi Nợ",299000,299000,0,0
TIKI,nha-sach-tiki,197344439,"Kingdom - Tập 34",43600,45000,1400,3
TIKI,nha-sach-tiki,184070223,"OSHO - Cảm Xúc",131000,188000,57000,30
TIKI,nha-sach-tiki,197344441,"Như Cơn Gió Thoảng - Nghĩ Về Những Qui Luật Cuộc Sống",80500,80500,0,0
TIKI,nha-sach-tiki,27582931,"How Money Works - Hiểu Hết Về Tiền",220000,300000,80000,27
TIKI,nha-sach-tiki,103379147,"Bạch Dạ Hành (Tái Bản)",156000,209000,53000,25
TIKI,nha-sach-tiki,76013378,"Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu)",222100,319000,96900,30
TIKI,nha-sach-tiki,127844385,"Kiêu Hãnh Và Định Kiến (Tái Bản)",86500,116000,29500,25
TIKI,nha-sach-tiki,82912488,"Từ Tốt Đến Vĩ Đại (Tái bản 2021)",75000,130000,55000,42
TIKI,nha-sach-tiki,56454897,"Hiệu Sách Nhỏ Ở Paris",110000,149000,39000,26
TIKI,nha-sach-tiki,5067169,"Luật Hấp Dẫn (Tái Bản)",65800,89000,23200,26
TIKI,nha-sach-tiki,195801662,"Ngôi Sao Vườn Nữ Sinh - Tập 1",49100,50000,900,2
TIKI,nha-sach-tiki,8835159,"Đời Ngắn Đừng Ngủ Dài (Tái Bản)",62200,85000,22800,27
TIKI,nha-sach-tiki,148760924,"How Management Works - Hiểu Hết Về Quản Lý",242000,330000,88000,27
TIKI,nha-sach-tiki,70224520,"Băng keo dán nano 2 mặt siêu dính trong suốt dày 1mm dài 2m rộng 3cm và 5cm",17999,17999,0,0
TIKI,nha-sach-tiki,139303869,"Nghệ Thuật Tinh Tế Của Việc Đếch Quan Tâm (Tái Bản)",83000,128000,45000,35
TIKI,nha-sach-tiki,140416370,"Dòng Chảy",167000,228000,61000,27
TIKI,nha-sach-tiki,7718737,"Nghệ Thuật Tư Duy Rành Mạch (Tái Bản)",85600,118000,32400,27
TIKI,nha-sach-tiki,59262880,"Sách Người Bán Hàng Vĩ Đại Nhất Thế Giới (Tái Bản 2020)",103000,148000,45000,30
TIKI,nha-sach-tiki,157255752,"Sức Mạnh Của Hiện Tại (Tái Bản)",117000,168000,51000,30
TIKI,nha-sach-tiki,181699664,"Những Ngã Tư Và Những Cột Đèn",149000,200000,51000,26
TIKI,nha-sach-tiki,74341297,"Không Sợ Chậm Chỉ Sợ Dừng",92400,129000,36600,28
TIKI,nha-sach-tiki,72001057,"Chiến Tranh Tiền Tệ - Phần III",112000,175000,63000,36
TIKI,nha-sach-tiki,194205608,"Cherry Magic - Tập 2",86000,109000,23000,0
TIKI,nha-sach-tiki,192115858,"Chú Thuật Hồi Chiến -  Tập 5 - Giao Lưu Trường Kết Nghĩa Kyoto [Tặng Kèm Obi Và Thẻ Bo Góc Nhựa]",30000,30000,0,0
TIKI,nha-sach-tiki,58342212,"Set 3 cuốn Moi Moi và những người bạn - Dành cho trẻ từ 0-2 tuổi",75600,117000,41400,35
TIKI,nha-sach-tiki,115281323,"(Gift) Bút ký khắc tên cao cấp Doanh nhân LC048, mực mịn, đều ở mọi góc nghiêng",380000,380000,0,0
TIKI,nha-sach-tiki,273536931,"Kinh Doanh Thời Trang - 8 Bước Xây Dựng, Vận Hành Và Phát Triển Shop Quần Áo Của Bạn",155000,199000,44000,22
TIKI,nha-sach-tiki,115281552,"(Gift) Bút ký khắc tên cao câp Doanh nhân LC 046, mực bi mịn đều ở mọi góc nghiêng cầm bút",450000,450000,0,0
TIKI,nha-sach-tiki,113530805,"Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản)",61100,90000,28900,32
TIKI,nha-sach-tiki,168283405,"Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022)",106000,165000,59000,36
TIKI,nha-sach-tiki,113779037,"(Gift) Bút ký khắc tên cao cấp Doanh nhân LC014, mực bi, đều ở mọi góc nghiêng",299000,299000,0,0
TIKI,nha-sach-tiki,274585509,"Phiên bản mới Sách nói điện tử song ngữ Anh Việt cho bé trên 3 tuổi",189000,250000,61000,24
TIKI,nha-sach-tiki,54614797,"Có Một Ngày, Bố Mẹ Sẽ Già Đi",66700,96000,29300,31
TIKI,nha-sach-tiki,161008715,"Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản)",128000,179000,51000,28
TIKI,nha-sach-tiki,115701940,"Giá MiCa Để Sách, iPad, Máy Tính",75000,75000,0,0
TIKI,nha-sach-tiki,270704495,"Lịch bàn 2024 Thông Thái Tinh Khôn SDstationery, 21x16x6 cm, dễ thương vui nhộn, minh họa vũ trụ, hành tinh, hệ mặt trời",23000,88000,65000,74
TIKI,nha-sach-tiki,3639597,"Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản)",65000,85000,20000,24
TIKI,nha-sach-tiki,4780917,"Người Đua Diều (Tái Bản 2018)",100000,129000,29000,22
TIKI,nha-sach-tiki,180592885,"Combo 2Q: Mong Mẹ Hãy Yêu Lấy Chính Mình + Cơ Thể Tự Chữa Lành: Nước Ép Cần Tây",197500,197500,0,0
TIKI,nha-sach-tiki,92859698,"Tâm Lý Học Biểu Cảm",65500,98000,32500,33
TIKI,nha-sach-tiki,271405604,"Lịch bàn 2024 SDstationery From Yourself with Love, cảm hứng phát triển bản thân, tiếng Anh, minh họa đẹp 20x24x7,5",22000,110000,88000,80
TIKI,nha-sach-tiki,193659018,"Combo 2 Cuốn: Dinh Dưỡng Học Bị Thất Truyền + Chế Độ Ăn Trường Thọ",268350,268350,0,0
TIKI,nha-sach-tiki,262837213,"Sách Excel Power Query Và Power Pivot Tự Động Hóa Dữ Liệu Báo Cáo Cơ Bản ĐÀO TẠO TIN HỌC Có Kèm Video Khóa Học",178600,188000,9400,5
TIKI,nha-sach-tiki,141739123,"Ruột bút kim loại 0.5 mm và 0.7 mm, mực mịn đều ở mọi góc nghiêng cầm bút",170000,170000,0,0
TIKI,nha-sach-tiki,52788072,"Chiến Binh Cầu Vồng (Tái Bản 2020)",84500,109000,24500,22
TIKI,nha-sach-tiki,10005245,"Đàn Ông Sao Hỏa Đàn Bà Sao Kim",134000,188000,54000,29
TIKI,nha-sach-tiki,161310103,"Từ Vựng IELTS 8.0 - Từ Vựng Đắt Để Đạt Điểm Cao 4 Kỹ Năng",89000,135000,46000,34
TIKI,nha-sach-tiki,15267827,"Hoàng Tử Bé (Tái Bản 2019)",53500,75000,21500,29
TIKI,nha-sach-tiki,114937969,"Rừng Nauy (Tái Bản)",116000,150000,34000,23
TIKI,nha-sach-tiki,8885995,"Sự Im Lặng Của Bầy Cừu (Tái Bản)",85800,115000,29200,25
TIKI,nha-sach-tiki,271442564,"Sổ planner 52 tuần 2024 SDstationery “Treasure the Journey” gáy lò xo, họa tiết màu pastel trang nhã 14x20.3cm",112000,132000,20000,15
TIKI,nha-sach-tiki,104612965,"FLASHCARD SachID Moon",10000,10000,0,0
TIKI,nha-sach-tiki,53720978,"Trong Cái Không Có Gì Không ? (Thiền Sư Thích Nhất Hạnh Trả Lời Cho Trẻ Em Những Thắc Mắc Về Ý Nghĩa Cuộc Sống, Về Cái Chết, Về Gia Đình, Bạn Bè Và Nhiều Câu Hỏi Khác)",113000,160000,47000,29
TIKI,nha-sach-tiki,171556602,"2030: Những Xu Hướng Lớn Sẽ Định Hình Thế Giới Tương Lai (Tái Bản Lần 1)",155000,209000,54000,26
